0 yes
1 no
2 no
3 yes
4 yes
5 yes
6 yes
7 yes
8 yes
9 yes
10 yes
11 yes
12 yes
13 yes
14 yes
15 yes
16 yes
17 yes
18 yes
19 yes
20 yes
21 yes
22 yes
23 yes
24 no
25 no
26 yes
27 no
28 yes
29 no
30 yes
31 yes
32 yes
33 no
34 no
35 yes
36 yes
37 yes
38 no
39 yes
40 yes
41 yes
42 no
43 yes
44 yes
45 yes
46 yes
47 yes
48 yes
49 yes
50 yes
51 yes
52 yes
53 yes
54 yes
55 no
56 yes
57 yes
58 yes
59 yes
60 yes
61 yes
62 yes
63 yes
64 yes
65 yes
66 yes
67 yes
68 yes
69 yes
70 yes
71 yes
72 yes
73 yes
74 yes
75 yes
76 no
77 yes
78 yes
79 yes
80 yes
81 yes
82 no
83 yes
84 no
85 yes
86 yes
87 yes
88 yes
89 yes
90 yes
91 yes
92 yes
93 yes
94 no
95 no
96 yes
97 yes
98 yes
99 no
